sorting_type,size,comparison_count,swap_count
quicksort_type1,50,1274,675
quicksort_type1,1000,500499,251000
quicksort_type1,2000,2000999,1002000
quicksort_type1,5000,12502499,6255000
quicksort_type1,10000,50004999,25010000
quicksort_type2,50,1225,1225
quicksort_type2,1000,500400,253350
quicksort_type2,2000,2000900,1004350
quicksort_type2,5000,12502400,6257350
quicksort_type2,10000,50004900,25012350
quicksort_type3,50,1225,1225
quicksort_type3,1000,500450,251550
quicksort_type3,2000,2000950,1002550
quicksort_type3,5000,12502450,6255550
quicksort_type3,10000,50004950,25010550
quicksort_type4,50,267,250
quicksort_type4,1000,11443,9162
quicksort_type4,2000,25816,20271
quicksort_type4,5000,73868,56525
quicksort_type4,10000,162664,123021
merge_sort,50,133,300
merge_sort,1000,4932,10000
merge_sort,2000,10864,22000
merge_sort,5000,29804,65000
merge_sort,10000,64608,140000
