sorting_type,size,comparison_count,swap_count
quicksort_type1,50,282,172
quicksort_type1,1000,11944,6326
quicksort_type1,2000,29838,14117
quicksort_type1,5000,76304,36665
quicksort_type1,10000,172198,88722
quicksort_type2,50,627,580
quicksort_type2,1000,21212,17226
quicksort_type2,2000,49707,37528
quicksort_type2,5000,136734,106113
quicksort_type2,10000,276490,211347
quicksort_type3,50,627,580
quicksort_type3,1000,14990,10488
quicksort_type3,2000,36901,23683
quicksort_type3,5000,94737,60730
quicksort_type3,10000,209253,138512
quicksort_type4,50,272,239
quicksort_type4,1000,11966,8432
quicksort_type4,2000,25314,19240
quicksort_type4,5000,81984,64917
quicksort_type4,10000,153177,108854
merge_sort,50,228,300
merge_sort,1000,8727,10000
merge_sort,2000,19454,22000
merge_sort,5000,56828,65000
merge_sort,10000,123644,140000
